Tesla Inc.,APPLE,Google,Intel,Microsoft,Nvidia,Cocacola
411.05,243.36,193.13,20.56,423.35,144.47,61.75
410.44,243.85,190.63,20.22,418.58,138.31,61.84
379.28,250.42,190.44,20.05,421.50,134.29,62.26
403.84,252.20,192.69,19.82,424.83,137.49,62.03
417.41,255.59,194.04,20.30,430.53,137.01,62.45
431.66,259.02,197.10,20.44,438.11,139.93,62.57
454.13,258.20,197.57,20.40,439.33,140.22,62.84
462.28,255.27,195.99,20.20,435.25,139.67,62.38
430.60,254.49,192.96,19.52,436.60,134.70,62.55
421.06,249.79,189.70,19.06,437.03,130.68,62.45
436.17,248.05,190.15,19.30,437.39,128.91,62.85
440.13,253.48,197.12,20.44,454.46,130.39,63.40
479.86,251.04,198.16,20.83,451.59,132.00,62.55
463.02,248.13,191.38,20.34,447.27,134.25,63.12
436.23,247.96,193.63,20.78,449.56,137.34,63.84
418.10,246.49,196.71,20.12,448.99,139.31,62.64
424.77,247.77,186.53,20.16,443.33,135.07,62.91
400.99,246.75,177.10,20.81,446.02,138.81,62.60
389.79,242.84,176.49,20.92,443.57,142.44,62.53
389.22,243.04,174.31,20.80,442.62,145.06,62.92
369.49,243.01,176.09,21.96,437.42,145.14,62.21
357.93,242.65,173.02,22.47,431.20,140.26,63.52
351.42,239.59,172.98,23.93,430.98,138.63,63.65
357.09,237.33,170.49,24.05,423.46,138.25,64.08
345.16,234.93,170.82,23.65,422.99,135.34,64.43
332.89,235.06,170.62,24.05,427.99,136.92,64.55
338.23,232.87,169.43,24.87,418.79,136.02,64.38
338.59,229.87,166.57,24.50,417.00,141.95,63.92
352.56,228.52,169.24,24.44,412.87,146.67,63.76
339.64,229.00,177.33,24.01,415.49,145.89,62.99
342.03,228.28,179.58,24.20,417.79,147.01,62.59
346.00,228.02,176.80,24.84,415.76,140.15,61.86
338.74,225.00,173.89,24.35,415.00,141.98,61.74
320.72,228.22,177.35,25.03,426.89,146.76,62.55
311.18,225.12,180.49,24.92,425.20,146.27,63.00
330.24,224.23,183.32,24.16,423.03,148.29,63.20
328.49,224.23,181.97,25.05,418.01,145.26,63.36
350.00,226.96,179.86,26.20,422.54,147.63,63.92
321.22,227.48,182.28,26.23,425.43,148.88,63.66
296.91,222.72,178.33,25.05,420.18,145.61,63.70
288.53,223.45,171.41,23.32,411.46,139.91,65.37
251.44,222.01,170.68,22.52,408.46,136.05,65.11
242.84,222.91,172.65,23.20,410.37,135.40,65.01
248.98,225.91,172.69,21.52,406.35,132.76,65.31
249.85,230.10,176.14,22.30,432.53,139.34,65.92
257.55,233.67,171.14,22.90,431.95,141.25,65.56
259.52,233.40,168.34,22.92,426.59,140.52,66.67
262.51,231.41,166.99,22.68,428.15,141.54,66.92
269.19,230.57,164.53,22.34,424.73,140.41,67.30
260.48,230.76,164.48,21.98,424.60,139.56,68.01
213.65,235.86,166.82,22.40,427.51,143.59,69.45
217.97,236.48,165.80,22.84,418.78,143.71,69.45
218.85,235.00,165.05,22.77,418.16,138.00,70.44
220.70,232.15,164.51,22.44,416.72,136.93,69.90
220.89,231.78,166.74,22.31,416.12,135.72,70.57
221.33,233.85,166.90,22.66,418.74,131.60,70.34
219.57,231.30,166.35,23.44,419.14,138.07,70.34
219.16,227.55,164.52,23.56,416.32,134.80,69.57
217.80,229.04,163.18,23.22,415.84,134.81,69.25
238.77,229.54,163.06,23.46,417.46,132.65,69.57
241.05,225.77,165.70,23.32,414.71,132.89,69.18
244.50,221.69,164.39,22.38,409.54,127.72,69.01
240.83,226.80,168.56,22.59,416.06,124.92,70.17
250.08,225.67,167.21,22.26,416.54,122.85,70.52
240.66,226.78,167.31,22.39,417.13,118.85,71.01
249.02,226.21,168.42,22.69,420.69,117.00,71.71
258.02,233.00,167.19,23.46,430.30,121.44,71.86
261.63,227.79,165.29,23.91,428.02,121.40,71.79
260.46,227.52,163.83,23.92,431.31,124.04,71.40
254.22,226.37,162.99,23.54,432.11,123.51,71.45
257.02,227.37,163.64,22.81,429.17,120.87,71.33
254.27,226.47,163.07,22.56,433.51,116.26,71.73
250.00,228.20,164.64,21.84,435.27,116.00,71.64
238.25,228.87,163.24,21.14,438.69,117.87,70.62
243.92,220.69,160.81,20.77,430.81,113.37,71.75
227.20,216.79,160.28,21.47,435.15,115.59,71.80
227.87,216.32,158.99,20.91,431.34,116.78,72.10
226.78,222.50,158.37,19.66,430.59,119.10,71.41
230.29,222.77,155.54,19.36,427.00,119.14,71.23
229.81,222.66,152.15,19.64,423.04,116.91,71.08
228.13,220.11,150.01,18.98,414.20,108.10,71.55
226.17,220.91,149.54,19.07,405.72,106.47,71.85
216.27,220.82,152.13,18.89,401.70,102.83,71.14
210.73,222.38,158.60,19.40,408.39,107.21,71.17
230.17,220.85,157.81,19.43,408.90,106.21,72.56
219.41,222.77,158.61,20.10,409.44,108.00,73.01
210.60,229.00,165.11,22.04,417.14,119.37,72.47
214.11,229.79,163.40,20.13,413.12,117.59,72.05
206.28,226.49,164.50,19.61,410.60,125.61,71.75
205.75,228.03,166.38,20.07,413.84,128.30,71.50
209.21,227.18,167.93,20.13,413.49,126.46,70.84
213.21,226.84,167.43,20.54,416.79,129.37,69.79
220.32,224.53,165.49,20.10,415.55,123.74,69.33
210.66,226.40,167.63,21.41,424.14,128.50,69.57
223.27,226.51,168.96,20.99,424.80,127.25,69.38
221.10,225.89,168.40,21.52,421.53,130.00,68.98
222.72,226.05,164.74,20.87,418.47,124.58,69.18
216.12,224.72,163.17,20.69,421.03,122.86,68.65
214.14,221.72,162.03,19.92,416.86,118.08,68.58
201.38,221.27,165.93,20.47,414.01,116.14,68.46
207.83,217.53,163.95,19.36,406.81,109.02,68.17
197.49,216.24,165.39,19.71,406.02,104.75,68.68
200.00,213.31,163.84,20.49,402.69,104.97,68.73
198.84,209.82,160.75,18.99,398.43,98.91,68.46
191.76,207.23,160.54,19.83,399.61,104.25,68.05
200.64,209.27,160.64,20.11,395.15,100.45,68.10
198.88,219.86,168.40,21.48,408.49,107.27,69.33
207.67,218.36,172.45,29.05,417.11,109.21,67.96
216.86,222.08,173.15,30.74,418.35,117.02,66.74
232.07,218.80,171.86,30.13,422.92,103.73,67.68
222.62,218.24,171.13,30.83,426.73,111.59,66.83
232.10,217.96,168.68,31.35,425.27,113.06,67.05
219.80,217.49,169.16,31.10,418.40,112.28,66.07
220.25,218.54,174.37,31.70,428.90,114.25,65.81
215.99,225.01,183.60,32.95,444.85,122.59,64.96
246.38,223.96,183.35,33.37,442.94,123.54,64.77
251.51,224.31,179.39,32.98,437.11,117.93,65.29
239.20,224.18,179.22,34.87,440.37,121.09,65.19
249.23,228.88,182.62,34.46,443.52,117.99,65.21
248.50,234.82,185.50,34.34,449.52,126.36,64.27
256.56,234.40,188.19,34.46,453.96,128.44,63.41
252.64,230.54,186.78,34.49,453.55,129.24,63.70
248.23,227.57,187.30,33.50,454.70,127.40,63.10
241.03,232.98,192.66,34.87,466.25,134.91,62.83
263.26,228.68,190.44,34.59,459.54,131.38,62.69
262.33,227.82,190.48,33.99,466.24,128.20,62.96
252.94,226.34,191.96,32.02,467.56,125.83,63.76
251.52,221.55,187.39,31.23,460.77,128.28,63.33
246.39,220.27,186.61,31.07,459.28,122.67,63.15
231.26,216.75,184.49,30.84,456.73,124.30,63.28
209.86,210.62,183.42,30.97,446.95,123.54,63.65
197.88,214.10,186.86,30.59,452.85,123.99,63.91
197.42,213.25,185.37,30.54,452.16,126.40,64.05
196.37,209.07,185.58,30.74,450.95,126.09,63.84
187.35,208.14,180.79,30.57,447.67,118.11,63.97
182.58,207.49,180.26,31.09,449.78,126.57,62.77
183.01,209.68,177.71,30.62,445.70,130.78,62.18
181.57,214.29,176.45,30.63,446.34,135.58,62.63
184.86,216.67,178.78,30.98,448.37,130.98,62.62
